Seq.,Grp,Sub-Cat,Stock,Description_x,Package,On Hand /cs_x,Shelf Life_x,Arrive Date_x,Lot Number_x,On Hand /cs_y,Shelf Life_y,Arrive Date_y,Lot Number_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,F,26690 * OTHERS *,50280,"F-YUZU SORBET 5L,KOCHI ICE",4/5 liter(1.32 gallon),12,3/11/2011,5/26/2020 0:00,CK20-4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,F,40050 * TAMAGOYAKI *,71580,F-SHITTORI TAMAGO SHEET AJIKAN,30/300g(10pc/SQ)#12020,5.7,2/4/2019,11/14/2018 0:00,CK18-4102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,F,40050 * TAMAGOYAKI *,71581,F-OMU RICE TAMAGOYAKI AJIKAN,16/600g(10pc/RD)#36847,4,2/18/2019,11/14/2018 0:00,CK18-4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,F,22530 * WASABI *,70490,F-RAIFORT HORSERADISH,6/10/100g KINJIRUSHI,1.5,7/8/2019,11/24/2018 0:00,CK18-4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,F,34510 * SAKE KASU *,70681,F-TATENOKAWA ITA SAKE KASU JD,20/14.1oz(400g),3,9/21/2019,11/14/2018 0:00,CT18-4047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,F,"45520 * SEAFOOD SOZAI, FROZEN *",71120 1,F-IKA GESO W/KARAAGEKO,10/1kg(2.2#),108,10/25/2019,12/19/2020 0:00,CT19-4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,F,24720 * WAKAME *,61063 1,"F-NAMA WAKAME,TOKON (30%)",10/1KG,7,10/31/2019,9/9/2019 0:00,CT19-4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,F,24740 * TSUMA *,61702,F-AKA TOSAKA NORI,15/2.2 lbs,4,1/30/2020,5/19/2019 0:00,CK19-4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,F,24720 * WAKAME *,61063 1,"F-NAMA WAKAME,TOKON (30%)",10/1KG,2,1/31/2020,12/12/2019 0:00,CT19-4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,F,24740 * TSUMA *,61655,F-SHIRO TOSAKA NORI,15/2.2 lbs,5,1/31/2020,5/10/2019 0:00,CK19-4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,F,40050 * TAMAGOYAKI *,71580,F-SHITTORI TAMAGO SHEET AJIKAN,30/300g(10pc/SQ)#12020,5,4/7/2020,12/19/2019 0:00,CK19-4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
